Year,Athlete,NOC,Distance,Sex,Birth,Height (cm),Weight (kg)
2016,Clive Pullen,JAM,16.08,Male,"18 October 1994 in Kingston, Kingston (JAM)",183.0,83.0
2016,Hugues Zango,BUR,15.99,Male,"25 June 1993 in Ouagadougou, Centre (BUR)",180.0,78.0
2016,Kohei Yamashita,JPN,15.71,Male,"6 September 1994 in Fukushima, Fukushima (JPN)",179.0,69.0
2016,Levon Aghasyan,ARM,15.54,Male,"19 January 1995 in Kapan, Syunik (ARM)",193.0,75.0
2016,Artsiom Bandarenka,BLR,15.43,Male,"19 June 1991 in Rahachow, Homel (BLR)",187.0,78.0
2016,Vladimir Letnicov,MDA,15.29,Male,"7 October 1981 in Chișinău, Chișinău (MDA)",178.0,70.0
2016,Georgi Tsonov,BUL,15.2,Male,"2 May 1993 in Sliven, Sliven (BUL)",176.0,70.0
2020,Pedro Pablo Pichardo,POR,17.98,Male,"30 June 1993 in Santiago de Cuba, Santiago de Cuba (CUB)",186.0,71.0
2020,Zhu Yaming,CHN,17.57,Male,4 May 1994
2020,Hugues Zango,BUR,17.47,Male,"25 June 1993 in Ouagadougou, Centre (BUR)",180.0,78.0
2020,Will Claye,USA,17.44,Male,"13 June 1991 in Tucson, Arizona (USA)",181.0,72.0
2020,Yasser Triki,ALG,17.43,Male,"24 March 1997 in Constantine, Constantine (ALG)"
2020,Necati Er,TUR,17.25,Male,24 February 1997
2020,Donald Scott,USA,17.18,Male,23 February 1992
2020,Fang Yaoqing,CHN,17.01,Male,20 April 1996
2020,Andrea Dallavalle,ITA,16.99,Male,"31 October 1999 in Piacenza, Piacenza (ITA)"
2020,Cristian Nápoles,CUB,17.08,Male,"27 November 1998 in Marianao, Ciudad de La Habana (CUB)"
2020,Emmanuel Ihemeje,ITA,16.88,Male,"9 October 1998 in Carrara, Massa-Carrara (ITA)"
2020,Melvin Raffin,FRA,16.83,Male,"9 August 1998 in Bourg-la-Reine, Hauts-de-Seine (FRA)"
2020,Tobia Bocchi,ITA,16.78,Male,"7 April 1997 in Parma, Parma (ITA)"
2020,Wu Ruiting,CHN,16.73,Male,29 November 1995
2020,Nazim Babayev,AZE,16.72,Male,"8 October 1997 in Bakı, Bakı (AZE)",187.0,74.0
2020,Tiago Pereira,POR,16.71,Male,"19 September 1993 in Lisboa, Distrito de Lisboa (POR)",194.0,76.0
2020,Max Heß,GER,16.69,Male,"13 July 1996 in Chemnitz, Sachsen (GER)",185.0,80.0
2020,Chris Benard,USA,16.59,Male,"9 April 1990 in Tustin, California (USA)",191.0,84.0
2020,Benjamin Compaoré,FRA,16.59,Male,"5 August 1987 in Bar-le-Duc, Meuse (FRA)",189.0,83.0
2020,Mateus de Sá,BRA,16.49,Male,"21 November 1995 in Dracena, São Paulo (BRA)",184.0,80.0
2020,Levon Aghasyan,ARM,16.42,Male,"19 January 1995 in Kapan, Syunik (ARM)",193.0,75.0
2020,Ben Williams,GBR,16.3,Male,"25 January 1992 in Stoke-on-Trent, England (GBR)"
2020,Almir Júnior,BRA,16.27,Male,"4 September 1993 in Matupá, Mato Grosso (BRA)",190.0,82.0
2020,Carey McLeod,JAM,16.01,Male,14 April 1998
2020,Pablo Torrijos,ESP,15.87,Male,"12 May 1992 in Castellón de la Plana, Castellón (ESP)",185.0,76.0
2020,Alexsandro Melo,BRA,15.65,Male,"26 September 1995 in Londrina, Paraná (BRA)",189.0,72.0
2020,Nelson Évora,POR,15.39,Male,"20 April 1984 in Abidjan, Abidjan (CIV)",182.0,72.0
